date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:15:02	772185/772185	---M--	200	added ('OK')	image/png	etag:%226966b3f8548a520456a22087973b9544%22	https://www.humanicslab.com/grid-pattern.png	./humanicslab_mirror/www.humanicslab.com/grid-pattern.png	(from https://www.humanicslab.com/_next/static/css/5ac63b422b813502.css)
14:15:02	25908/25908	---M--	200	added ('OK')	font/woff2	etag:%2243828e14271c77b87e3ed582dbff9f74%22	https://www.humanicslab.com/_next/static/media/55c55f0601d81cf3-s.woff2	./humanicslab_mirror/www.humanicslab.com/_next/static/media/55c55f0601d81cf3-s.woff2	(from https://www.humanicslab.com/_next/static/css/5ac63b422b813502.css)
14:15:03	18820/18820	---M--	200	added ('OK')	font/woff2	etag:%22befd9c0fdfa3d8a645d5f95717ed6420%22	https://www.humanicslab.com/_next/static/media/26a46d62cd723877-s.woff2	./humanicslab_mirror/www.humanicslab.com/_next/static/media/26a46d62cd723877-s.woff2	(from https://www.humanicslab.com/_next/static/css/5ac63b422b813502.css)
14:15:04	11220/11220	---M--	200	added ('OK')	font/woff2	etag:%22e360c61c5bd8d90639fd4503c829c2dc%22	https://www.humanicslab.com/_next/static/media/97e0cb1ae144a2a9-s.woff2	./humanicslab_mirror/www.humanicslab.com/_next/static/media/97e0cb1ae144a2a9-s.woff2	(from https://www.humanicslab.com/_next/static/css/5ac63b422b813502.css)
14:15:05	19072/19072	---M--	200	added ('OK')	font/woff2	etag:%22f0b86e7c24f455280b8df606b89af891%22	https://www.humanicslab.com/_next/static/media/581909926a08bbc8-s.woff2	./humanicslab_mirror/www.humanicslab.com/_next/static/media/581909926a08bbc8-s.woff2	(from https://www.humanicslab.com/_next/static/css/5ac63b422b813502.css)
14:15:06	10280/10280	---M--	200	added ('OK')	font/woff2	etag:%22d54db44de5ccb18886ece2fda72bdfe0%22	https://www.humanicslab.com/_next/static/media/df0a9ae256c0569c-s.woff2	./humanicslab_mirror/www.humanicslab.com/_next/static/media/df0a9ae256c0569c-s.woff2	(from https://www.humanicslab.com/_next/static/css/5ac63b422b813502.css)
14:15:08	85272/85272	---M--	200	added ('OK')	font/woff2	etag:%2201ba6c2a184b8cba08b0d57167664d75%22	https://www.humanicslab.com/_next/static/media/8e9860b6e62d6359-s.woff2	./humanicslab_mirror/www.humanicslab.com/_next/static/media/8e9860b6e62d6359-s.woff2	(from https://www.humanicslab.com/_next/static/css/5ac63b422b813502.css)
14:15:09	13997/13997	---MCZ	200	added ('OK')	application/javascript	etag:W/%229eac030fc384760cc56c0a9727a30bc5%22	https://www.humanicslab.com/_next/static/chunks/app/who-we-are/page-f7ea154a9616da74.js	./humanicslab_mirror/www.humanicslab.com/_next/static/chunks/app/who-we-are/page-f7ea154a9616da74.js	(from https://www.humanicslab.com/who-we-are)
14:15:10	913383/913383	---M--	200	added ('OK')	image/png	etag:%221c7eea70d2fd704601fbbdd4ba3f1261%22	https://www.humanicslab.com/diverse-inclusive-workplace.png	./humanicslab_mirror/www.humanicslab.com/diverse-inclusive-workplace.png	(from https://www.humanicslab.com/who-we-are)
14:15:10	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/case-studies/maaun-group-universities.png	./humanicslab_mirror/www.humanicslab.com/case-studies/maaun-group-universities.35.delayed	(from https://www.humanicslab.com/what-we-do/digital-services)
14:15:11	38500/38500	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%224d4a7ccaa4000f093360b7374a422186%22	https://www.humanicslab.com/case-studies/aapu-logo.png	./humanicslab_mirror/www.humanicslab.com/case-studies/aapu-logo.36.delayed	(from https://www.humanicslab.com/what-we-do/digital-services)
14:15:12	3253/3253	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2235707bd9960ba5281c72af927b79291f%22	https://www.humanicslab.com/placeholder.svg?key=7osen	./humanicslab_mirror/www.humanicslab.com/placeholderb40d.svg	(from https://www.humanicslab.com/what-we-do/digital-services)
14:15:14	11173/11173	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c6814bd344424f16fd7b4dae7e0abddc%22	https://www.humanicslab.com/_next/static/chunks/8451-70f11fd995d560a6.js	./humanicslab_mirror/www.humanicslab.com/_next/static/chunks/8451-70f11fd995d560a6.js	(from https://www.humanicslab.com/what-we-do/digital-services)
